"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"2510003E04Rik",0.186776118145451,1.91203712399893,1.91203712399893,1.04940662107219
"Cenpb",1.90958742290597,1.46180795060018,1.90958742290597,1.68569768675307
"Rnf128",1.90932434785975,1.50229521078732,1.90932434785975,1.70580977932353
"Cc2d2a",1.90865107916283,1.44656062892629,1.90865107916283,1.67760585404456
"Mlxipl",1.90864663727138,1.46244536196083,1.90864663727138,1.68554599961611
"Serpina3n",1.90829030008408,1.51776904052388,1.90829030008408,1.71302967030398
"Slc39a1",1.90776029628708,1.52148168776436,1.90776029628708,1.71462099202572
"Gm16023",0.696390012286879,1.90647909134367,1.90647909134367,1.30143455181527
"Foxo4",1.90636366502366,1.47382843944866,1.90636366502366,1.69009605223616
"Mcfd2",0.785382695528486,1.90635572911725,1.90635572911725,1.34586921232287
"Rgmb",1.906350576604,1.43401708208479,1.906350576604,1.6701838293444
"Fbxl18",1.90623437681487,1.45387619130348,1.90623437681487,1.68005528405917
"Cdkl2",1.90399841053001,1.52143797039794,1.90399841053001,1.71271819046398
"Ect2l",1.90371881674907,1.59273913948705,1.90371881674907,1.74822897811806
"Snrpn",1.90317662947756,1.43597232714822,1.90317662947756,1.66957447831289
"Frmd8os",1.90249266977695,1.51525396910533,1.90249266977695,1.70887331944114
"Folh1",1.9019272465239,1.55160461061991,1.9019272465239,1.7267659285719
"Samhd1",0.610717085463034,1.90170627567246,1.90170627567246,1.25621168056775
"Hip1r",1.90119594111044,1.45820838145627,1.90119594111044,1.67970216128335
